,Country_Region,Confirmed,Deaths,Recovered,Active,Incident_Rate,Mortality_Rate,ISO3,Cases_28_Days,Deaths_28_Days
105,Mozambique,225256,2200,,,720.6938569244037,0.9766665482828426,MOZ,169,7
106,Luxembourg,215831,1036,,,34479.11741025215,0.4800051892452891,LUX,29237,42
107,Mauritius,210343,968,,,16539.42899917988,0.4602007197767456,MUS,40547,64
108,Kyrgyzstan,200935,2988,,,3079.845455168311,1.4870480503645458,KGZ,367,28
109,Iceland,181391,101,,,53154.8717948718,0.05568082209150399,ISL,45203,33
110,Afghanistan,177747,7670,,,456.6005009049832,4.315122055505858,AFG,3643,50
111,Maldives,177000,298,,,32744.911588738712,0.16836158192090395,MDV,5886,1
112,Laos,176898,665,,,2431.4018062674522,0.3759228481950049,LAO,30896,41
113,Uganda,163905,3596,,,358.3327867777268,2.1939538147097406,UGA,550,8
114,El Salvador,161052,4119,,,2482.9942827858717,2.5575590492511737,SLV,4688,41
115,Ghana,160971,1445,,,518.0423033606888,0.8976772213628542,GHA,1034,3
116,Namibia,157646,4019,,,6204.297977579738,2.5493827943620517,NAM,347,10
117,Trinidad and Tobago,137860,3750,,,9850.724299048725,2.7201508777020167,TTO,9066,109
118,Cambodia,135625,3054,,,811.2042302124935,2.2517972350230413,KHM,4581,22
119,Brunei,134412,208,,,30723.9367015404,0.15474808796833614,BRN,62077,79
120,Rwanda,129722,1459,,,1001.543443284462,1.1247128474738286,RWA,185,2
121,Jamaica,128757,2888,,,4348.193158021465,2.242984847425771,JAM,656,70
122,Cameroon,119544,1927,,,450.33004011472366,1.6119587766847354,CMR,304,4
123,Angola,99169,1900,,,301.7348973117362,1.9159213060533031,AGO,392,0
124,Congo (Kinshasa),86748,1337,,,96.85868702996214,1.5412459076866325,COD,709,2
125,Senegal,85895,1964,,,512.9918722784913,2.286512602596193,SEN,174,4
126,Malawi,85640,2626,,,447.67486384573306,3.0663241475945817,MWI,269,9
127,Cote d'Ivoire,81741,796,,,309.8800054211278,0.973807513977074,CIV,204,2
128,Malta,79539,638,,,18014.03726511135,0.8021222293466098,MLT,7324,32
129,Suriname,79202,1324,,,13501.092674478465,1.6716749577030885,SUR,849,7
130,Eswatini,69771,1394,,,6013.8911395285495,1.9979647704633727,SWZ,512,4
131,Fiji,64404,834,,,7184.386308570306,1.2949506241848332,FJI,405,0
